Transaction_Text,Label,source
NEFT zomato 42614495 restaurant payment ORDER,Food,extreme_augmented
zepto_restaurant_payment REF,Food,extreme_augmented
instamart/restaurant/payent/CHARGE,Food,extreme_augmented
SUCCESS*17645007 restaurant payment grocery,Food,extreme_augmented
zeptof:ood:order_22531841 NACH,Food,extreme_augmented
NACH groceRy rEstauRAnt PaymENt,Food,extreme_augmented
Zomato Grocery Purchase 71915842,Food,extreme_augmented
Bank Grocery Purchase Pizzahut Card,Food,extreme_augmented
Dominos Meal Bill TXN,Food,extreme_augmented
food rder ccd-19785055,Food,extreme_augmented
payment ID*5980593296 dunzo cafe SUCCESS,Food,extreme_augmented
Swiggy Food Odrer,Food,extreme_augmented
Ref:4083733720 supermarket food order MERCHANT,Food,extreme_augmented
ZEPTO/GROCERY/PURCHASE/46096507,Food,extreme_augmented
Id-3301729813 Zomato Order Food Txn_77440313,Food,extreme_augmented
rder foodcourt foodo UTR*9646044027 REF,Food,extreme_augmented
NEFT dunzo/grcoery/purchase,Food,extreme_augmented
UTR/8534126902 NACH/zepto/meal/bILl:65953864,Food,extreme_augmented
NEFT purchase:starbucks:grocrey:MERCHANT,Food,extreme_augmented
NACH zepto dinner order*25925504 DEBIT,Food,extreme_augmented
foodcourt*meal*bill_19525794,Food,extreme_augmented
TXN UTR-2633546793 purchase*8787256 mcdonalds grocery,Food,extreme_augmented
UPI DEBIT cafe mcdonnalds payment,Food,extreme_augmented
9781671684 canteen grocery purchase ID,Food,extreme_augmented
TXN Restaurant:Cafe:Paymet:Online,Food,extreme_augmented
REF/546207558 DUNZO CAFE PAYMENT DR,Food,extreme_augmented
ID*8137508566 kfc meal bill-91577205,Food,extreme_augmented
NEFT supermarekt meal bill/25676775,Food,extreme_augmented
IMPS*zepto*dinner*order,Food,extreme_augmented
blinkit grocery UTR*3871827812 purchase,Food,extreme_augmented
ACCOUNT TXN UTR dunzo 6585381911 payment cafe,Food,extreme_augmented
BANK Ref/1902698696 zomato meaal bill DR,Food,extreme_augmented
UTR:5990054859 SUPERMARKTE FOOD ORDER 90055499 PAYMENT,Food,extreme_augmented
diminos/food/order,Food,extreme_augmented
UTR/4446395446 dunzo food order-70608578,Food,extreme_augmented
UTR:792883320:Instamart:Restaurant:Payment:Account,Food,extreme_augmented
TXN Ref_7817712632 kfc meal bill/52496813,Food,extreme_augmented
foodcourt_dinner_order/67350031_TXN_TXN,Food,extreme_augmented
IMPS zomato-restaurant-paymetn,Food,extreme_augmented
CAFE:ECS:REF:PAYMENT:DOMINOS,Food,extreme_augmented
zepto food order 57239060 ACCOUNT,Food,extreme_augmented
zomato-dinner-order,Food,extreme_augmented
ID*5375574361 payment IMPS rsetaurant cafe,Food,extreme_augmented
UTR-8958187419 NACH kfc dinner order 44459708,Food,extreme_augmented
ID:7197586354 ECS SWIGGY CAFE PAYMENT,Food,extreme_augmented
ID 3189178312 BANK zepto restaurant payment ORDER/62958754,Food,extreme_augmented
pament cafe mcdonalds:82542569 PAID,Food,extreme_augmented
supermarket/meal/bill:15672234 DR,Food,extreme_augmented
Ref:9981553677_baker_cafe_payment PAYMENT,Food,extreme_augmented
UTR 3465783978 ccd*grocery*purchase*TXN,Food,extreme_augmented
Ref-7527483713 ECS cafe cafe payment,Food,extreme_augmented
Ref/9838448351 STarbuckS*rEStauRant*PaYMeNT*6273426,Food,extreme_augmented
NEFT blinkit payment cfae ORDER,Food,extreme_augmented
ID_1327165596 bigbasket restaurant payment 65598425,Food,extreme_augmented
Ref-8728754101*dunzo*restaurant*payment,Food,extreme_augmented
UPI Zepto Grocery Purchase Account:94683637,Food,extreme_augmented
NACH bigbasket dinner orrder DR,Food,extreme_augmented
Cafe_Grocery_Purchase,Food,extreme_augmented
UTR-6214075689-TXN-blinkit-food-order-CHARGE,Food,extreme_augmented
payment restaurant ID-6517145795 NACH grocery,Food,extreme_augmented
Ref-7471892770 supermarket meal bill,Food,extreme_augmented
UTR-5830377671 STARBUCKS MEAL BILL,Food,extreme_augmented
ECS bill meal bakey ORDER,Food,extreme_augmented
food REF BANK instamart order Ref/2496991112,Food,extreme_augmented
zepto restauant payment_80495692,Food,extreme_augmented
bill meal ORDER_55998681 canteen,Food,extreme_augmented
bakErY DINnEr OrdEr,Food,extreme_augmented
pizzahut dinner order DEBIT,Food,extreme_augmented
UPI REF/9431704735 PIZZAHUT DINNER ORDER,Food,extreme_augmented
IMPS_ccd_food_order_COMPLETED,Food,extreme_augmented
ID_1877301734 ECS starbucks food order,Food,extreme_augmented
NEFT ZOmatO REstaurAN pAymEnt_74206266 ACCOUNT,Food,extreme_augmented
BANK-mcdonnalds-grocery-purchase-CARD,Food,extreme_augmented
