Transaction_Text,Expected,source,Predicted,Confidence,Exception
Ref_9558722731*CAFe*KFc*pAYMEnt,Food,extreme_unseen_holdout,Food,0.9813803962675526,False
DR zomato food UPI order,Food,extreme_unseen_holdout,Food,0.9730185801183505,False
NACH Swiggy Dinner Order:88569719,Food,extreme_unseen_holdout,Food,0.9845480900908996,False
bakery food order 57142106 CARD,Food,extreme_unseen_holdout,Food,0.970601018276644,False
UTR 1451064525 starbucks DInNer ORder/39277824 ONLINE,Food,extreme_unseen_holdout,Food,0.8323987233590178,False
BANK RESTAURANT DINNER ORDER:35186095 PAYMENT,Food,extreme_unseen_holdout,Food,0.9916069225452738,False
ID_772898730 TXN cafe meal bill,Food,extreme_unseen_holdout,Food,0.971407467716224,False
UTR/8497185298 kfc dNneR order PAYMENT,Food,extreme_unseen_holdout,Food,0.8071526699105825,False
ID-9329377573 cafe payment restaurant,Food,extreme_unseen_holdout,Food,0.9949884064606924,False
UTR CHARGE 8252343857 grocery*meal*bill_44885325,Food,extreme_unseen_holdout,Food,0.9871376409612802,False
ordEr ECS zOmaTo dInnER,Food,extreme_unseen_holdout,Food,0.9738237825377095,False
OrdEr BLINkItd iNNER TXN,Food,extreme_unseen_holdout,Food,0.7382944258008538,False
purchase-kfc-grocery-MERCHANT-ECS,Food,extreme_unseen_holdout,Food,0.818989739997721,False
BILL MEAL INSTAMART MERCHANT,Food,extreme_unseen_holdout,Food,0.9313954570266287,False
POS ID_4376974288 Zomato reSTAuraNt PaYMENt DEBIT,Food,extreme_unseen_holdout,Food,0.8782427367148036,False
TXN supermarket restaurant payment PAYMENT,Food,extreme_unseen_holdout,Food,0.9745956784751872,False
ID/806796900_supermarKet_dinnEr_orDer_96538297,Food,extreme_unseen_holdout,Food,0.9400593156225532,False
Ref 1576612861 ccd food order_275515,Food,extreme_unseen_holdout,Food,0.9472253481987704,False
BANK order food bigbasket*70801938,Food,extreme_unseen_holdout,Food,0.9723324760946687,False
Starbucks-Grocery-Purchase 5599338 REF,Food,extreme_unseen_holdout,Food,0.9369455217920147,False
UTR*4530779352 IMPS CAFE DINNER ORDER,Food,extreme_unseen_holdout,Food,0.9872696985138684,False
Bigbasket Meal Bill DEBIT,Food,extreme_unseen_holdout,Food,0.9548335471143626,False
POS resTAurant baKEyR payment,Food,extreme_unseen_holdout,Food,0.9329761831858259,False
CANTEEN GROCERY PURCHASE/52225987,Food,extreme_unseen_holdout,Food,0.957986900866517,False
Ref 8296332676 swiggy_grocery_purchase:3187417,Food,extreme_unseen_holdout,Food,0.9734099468278035,False
Ref 8982279262 SUCCESS purchase canteen grocery:96763864,Food,extreme_unseen_holdout,Food,0.9007825188381628,False
TXN mcdonalds cafep ayment ONLINE,Food,extreme_unseen_holdout,Food,0.7157385501955709,False
instaamrt restaurant payment 88439200,Food,extreme_unseen_holdout,Food,0.9664785266295532,False
kfc payment:78809846 Ref*4883612740 restaurant DEBIT,Food,extreme_unseen_holdout,Food,0.9176780063468418,False
bigBasKet DINner ordER ONLINE,Food,extreme_unseen_holdout,Food,0.9189540824702924,False
ECS DUNZO CAFE PAYMENT*47468118 REF,Food,extreme_unseen_holdout,Food,0.9360060210007036,False
TXN instamart meal bill PAID,Food,extreme_unseen_holdout,Food,0.9523526566214289,False
ID*2328348923 MCDONALDS FOOD ORDER PAYMENT,Food,extreme_unseen_holdout,Food,0.9856233833700064,False
cafe payment dunzo CARD,Food,extreme_unseen_holdout,Food,0.969891601028562,False
Id-6020854831 Impsz Omato Food Order,Food,extreme_unseen_holdout,Food,0.9600018578412004,False
IMPS CAFE MEAL BILL:33242560,Food,extreme_unseen_holdout,Food,0.9913170339179792,False
UTR*3450354897 purchase dominos grocery ACCOUNT,Food,extreme_unseen_holdout,Food,0.8849450343620744,False
Ref-6131601995 REsTaurant-RocERY-purchase,Food,extreme_unseen_holdout,Food,0.977820883680227,False
ID/5738778268 restaurant meal bill,Food,extreme_unseen_holdout,Food,0.9961094750957905,False
ID-579418484 piizzahut restaurant payment,Food,extreme_unseen_holdout,Food,0.9795470326352478,False
Ref-2025021129 TXN swIggy pURcHASe grOcEry,Food,extreme_unseen_holdout,Food,0.9692880452977098,False
CARD NEFT meal BIlL StARbucKS,Food,extreme_unseen_holdout,Food,0.9738991766656026,False
grocery grocery purchase*27399809 ORDER,Food,extreme_unseen_holdout,Food,0.9723395296341769,False
ID*6711501703 ccd grocery purchase TXN,Food,extreme_unseen_holdout,Food,0.9019440438695236,False
BANK ID_6030802848*bakery*cafe*payment:13778369,Food,extreme_unseen_holdout,Food,0.8901449160818226,False
Ecs Id 4154484033 Instamart*Grocery*Purchase,Food,extreme_unseen_holdout,Food,0.9011441508130368,False
Foodcourt Dinner Order Merchant*10359133,Food,extreme_unseen_holdout,Food,0.9702706500508402,False
Restaurant Cafe Payment,Food,extreme_unseen_holdout,Food,0.9969513795987118,False
caneten_restaurant_payment-50260486_TXN,Food,extreme_unseen_holdout,Food,0.946549964797417,False
cafe pizzahut NACH payment ORDER,Food,extreme_unseen_holdout,Food,0.9358211508249645,False
Dinner Order Ref 1904631209 Ecs Starbucks,Food,extreme_unseen_holdout,Food,0.9472781032110598,False
Ref 8169317240 IMPS bigbasket cafe payment*24963423 ACCOUNT,Food,extreme_unseen_holdout,Food,0.9215801774818503,False
Ref 5024265502 IMPS BIGbasKet*mEal*Bill,Food,extreme_unseen_holdout,Food,0.9526414574725953,False
BANK grocery/food/order,Food,extreme_unseen_holdout,Food,0.9622938237170111,False
bill meal blinkit REF,Food,extreme_unseen_holdout,Food,0.9620599525584315,False
BANK ID/5459601599 Zomato Cafe Payment-41426159,Food,extreme_unseen_holdout,Food,0.9331140897143072,False
Ref/9351759997 grocery retsaurant purchase:33148249,Food,extreme_unseen_holdout,Food,0.9022696613458522,False
NACH Mcdonalda Meal Bill/16160155,Food,extreme_unseen_holdout,Food,0.977202584506698,False
ECS pizzahut cfae payment,Food,extreme_unseen_holdout,Food,0.6691991721941729,False
UTR-8173244131:zomato:food:order 91620674 REF,Food,extreme_unseen_holdout,Food,0.9794516894923331,False
BANK UTR_9739580715 bakery food order,Food,extreme_unseen_holdout,Food,0.9435379827136298,False
UPI UTR/9013409235 oRdEr Cafe diNNwR,Food,extreme_unseen_holdout,Food,0.9528274469792005,False
PURCHASE_21800684_GROCERY_TXN_PIZZAHUT,Food,extreme_unseen_holdout,Food,0.9250507909515279,False
Pizzahut Food Order 72800690,Food,extreme_unseen_holdout,Food,0.9805631439973754,False
BAANK caFe mEal Bill,Food,extreme_unseen_holdout,Food,0.9961099920451939,False
bigbasket_food_ordeer:5989976,Food,extreme_unseen_holdout,Food,0.9445587370261038,False
UTR_4199073968 ECS bakery restaurant payment,Food,extreme_unseen_holdout,Food,0.9501363424819523,False
Restaurant Payment_850623 Cafe,Food,extreme_unseen_holdout,Food,0.9962438574813129,False
8116843294 grocery*food*order:15443740 Ref,Food,extreme_unseen_holdout,Food,0.9984172031590244,False
