Transaction_Text,Expected,Predicted,Confidence,Exception
UPI/SWIGGY/MEAL/8821,Food,Food,0.8978076030573733,False
upi-zomato-dinner-paid,Food,Food,0.8795427215532974,False
POS KFC HYDERABAD,Food,Food,0.4454228511095712,True
MCD meal txn,Food,Food,0.7071781726223783,False
DOMINOS PIZZA ORDER,Food,Food,0.9776606066013098,False
PIZZA HUT TAKEAWAY,Food,Food,0.6663609671779405,False
STARBUCKS CAFE BILL,Food,Food,0.8077124970622487,False
CCD COFFEE PAYMENT,Food,Food,0.8201694586098786,False
restaurant qr payment,Food,Food,0.9160465741526714,False
food delivery completed,Food,Food,0.7073061614660949,False
grocery delivery instamart,Food,Food,0.8177992197600695,False
BIGBASKET MONTHLY ORDER,Food,Food,0.4799809914009488,True
ZEpto groceries,Food,Food,0.6555729091245018,False
blinkit food order,Food,Food,0.7355035168651974,False
canteen lunch payment,Food,Food,0.7076433838502028,False
bakery purchase,Food,Food,0.6291948613551777,False
dinner at restaurant,Food,Food,0.9835083800844213,False
meal expense paid by card,Food,Food,0.6983850354610485,False
food court transaction,Food,Food,0.6370549438866351,False
supermarket grocery bill,Food,Food,0.8363350229335168,False
UPI/UBERINDIA/UTR9284736/CAB RIDE,Travel,Travel,0.7939280430639828,False
Ola ride fare,Travel,Travel,0.9542637955313322,False
RAPIDO BIKE TAXI PAYMENT,Travel,Travel,0.6781094728420037,False
POS INDIGO AIRLINES,Travel,Travel,0.6696008874012259,False
INDIGO FLIGHT TICKET,Travel,Travel,0.9835928654606207,False
AIR INDIA AIRFARE,Travel,Travel,0.7836545183301427,False
AKASA AIR TICKET,Travel,Travel,0.8077306375492107,False
IRCTC PNR4471,Travel,Travel,0.47420694434829824,True
railway reservation,Travel,Travel,0.7755059572934754,False
redbus bus booking,Travel,Travel,0.947278501244814,False
MMT HOTEL STAY,Travel,Travel,0.7694741191474768,False
MAKEMYTRIP RESERVATION,Travel,Travel,0.8506981940785584,False
OYO HOTEL PAYMENT,Travel,Travel,0.762647126710961,False
airport cab fare,Travel,Travel,0.9483711118957929,False
metro travel recharge,Travel,Travel,0.687100468429557,False
IOCL FUEL STATION,Travel,Travel,0.75274244454685,False
petrol pump payment,Travel,Travel,0.8932375209311325,False
taxi fare payment,Travel,Travel,0.8257443703197966,False
travel booking confirmed,Travel,Travel,0.720488038240272,False
hotel accommodation charge,Travel,Travel,0.7774933351416028,False
NACH DR HOMELOAN HDFC,EMI,EMI,0.4185050281420917,True
home loan repayment debit,EMI,EMI,0.8759631913117496,False
SBI CAR LOAN EMI DEDUCTED,EMI,EMI,0.9549603806375406,False
bike finance monthly payment,EMI,EMI,0.6626808746951974,False
two wheeler loan installment,EMI,EMI,0.9495196763029506,False
CC EMI DEBIT,EMI,EMI,0.9559185752177946,False
credit card installment,EMI,EMI,0.9639331386274039,False
PERSONAL LOAN AUTODEBIT,EMI,EMI,0.7986107886877492,False
BAJAJ FINANCE INSTALLMENT,EMI,EMI,0.9544388309751419,False
consumer durable installment,EMI,EMI,0.7749539459537961,False
loan payment due,EMI,EMI,0.7854138759017184,False
mortgage installment,EMI,EMI,0.9345938551296357,False
education loan repayment,EMI,EMI,0.6403120434857134,False
BNPL repayment,EMI,EMI,0.4554339920932542,True
SIMPL INSTALLMENT,EMI,EMI,0.8624613461995505,False
paylater monthly installment,EMI,EMI,0.8494870553666937,False
NACH loan debit,EMI,EMI,0.67718321927602,False
ECS loan installment,EMI,EMI,0.9897865592508849,False
vehicle finance repayment,EMI,EMI,0.5481363688888332,True
